"RegionName","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01"
"United States",1183,1187,1192,1203,1202,1204,1202,1205,1202,1198,1198,1206,1220,1225,1226,1226,1228,1241,1255,1266,1268,1270,1273,1272,1272,1272,1272,1275,1282,1282,1282,1280,1285,1289,1292,1294,1298,1302,1307,1311,1316,1312,1312,1312,1321,1331,1337,1339,1343,1345,1350
"New York, NY",,,,,,,,,,,,,,1825,1865,1894,1910,1977,2042,2121,2150,2157,2148,2149,2164,2195,2213,2249,2273,2295,2293,2287,2291,2295,2309,2300,2293,2264,2284,2285,2315,2298,2303,2307,2323,2347,2346,2350,2330,2340,2331
"Los Angeles, CA",2135,2134,2132,2143,2150,2164,2166,2169,2165,2165,2174,2190,2208,2223,2230,2233,2235,2246,2262,2280,2286,2285,2278,2278,2280,2287,2293,2303,2310,2311,2312,2309,2314,2321,2332,2336,2336,2338,2346,2359,2368,2369,2374,2380,2397,2414,2427,2434,2438,2447,2460
"Chicago, IL",1304,1323,1337,1346,1347,1369,1364,1364,1356,1359,1374,1386,1418,1437,1455,1458,1463,1467,1484,1511,1526,1532,1524,1520,1520,1514,1515,1511,1525,1526,1534,1532,1539,1547,1562,1580,1597,1608,1617,1619,1625,1624,1629,1628,1636,1642,1644,1640,1633,1621,1609
"Dallas-Fort Worth, TX",1251,1256,1258,1263,1265,1267,1265,1263,1260,1260,1260,1259,1264,1267,1270,1273,1273,1279,1288,1300,1308,1312,1313,1314,1320,1322,1324,1330,1336,1340,1343,1344,1347,1350,1355,1362,1369,1371,1376,1383,1388,1390,1393,1395,1402,1410,1419,1426,1433,1438,1443
"Philadelphia, PA",1311,1311,1307,1296,1292,1305,1324,1338,1341,1352,1374,1402,1424,1448,1467,1483,1493,1497,1497,1497,1498,1495,1490,1485,1473,1473,1477,1485,1496,1500,1501,1501,1505,1507,1507,1507,1503,1509,1514,1519,1524,1525,1529,1534,1545,1553,1557,1555,1544,1542,1546
"Houston, TX",1290,1284,1280,1280,1279,1275,1274,1274,1271,1262,1258,1259,1268,1281,1292,1299,1304,1312,1317,1324,1328,1337,1341,1342,1339,1341,1346,1353,1361,1369,1374,1375,1378,1384,1393,1402,1406,1410,1414,1418,1422,1427,1435,1444,1455,1466,1474,1481,1485,1491,1497
"Washington, DC",1821,1842,1856,1875,1888,1902,1902,1906,1910,1916,1926,1944,1972,1988,1998,2002,2003,2014,2036,2051,2056,2053,2051,2048,2053,2054,2060,2070,2080,2084,2084,2080,2081,2084,2085,2082,2084,2078,2076,2070,2068,2063,2063,2067,2076,2089,2098,2104,2110,2105,2103
"Miami-Fort Lauderdale, FL",1489,1488,1490,1497,1509,1526,1538,1540,1535,1537,1548,1562,1574,1580,1584,1587,1590,1595,1599,1604,1606,1608,1606,1604,1607,1615,1623,1629,1633,1638,1644,1653,1666,1676,1685,1695,1705,1719,1731,1741,1744,1741,1742,1749,1761,1769,1775,1777,1777,1777,1779
"Atlanta, GA",1122,1121,1120,1118,1117,1121,1129,1139,1141,1139,1136,1131,1128,1127,1129,1135,1136,1137,1139,1142,1142,1141,1139,1136,1135,1136,1139,1145,1150,1152,1150,1148,1150,1156,1162,1170,1175,1180,1182,1188,1190,1190,1189,1189,1192,1199,1207,1215,1222,1228,1233
"Boston, MA",1800,1812,1819,1826,1829,1831,1836,1838,1838,1836,1833,1829,1838,1845,1853,1860,1864,1878,1898,1913,1922,1930,1943,1952,1964,1965,1968,1976,1985,1988,1991,1996,1999,1996,1999,2017,2042,2055,2055,2064,2074,2079,2077,2081,2095,2120,2134,2137,2137,2134,2149
"San Francisco, CA",2252,2259,2262,2257,2250,2252,2261,2265,2279,2289,2301,2323,2351,2378,2386,2396,2406,2434,2459,2478,2477,2480,2487,2490,2489,2500,2519,2540,2561,2566,2562,2554,2548,2554,2570,2589,2607,2627,2658,2696,2732,2757,2789,2834,2891,2933,2968,2994,3011,3031,3055
"Detroit, MI",905,930,943,944,938,953,965,975,967,972,981,984,992,984,990,1004,1013,1019,1023,1027,1026,1025,1023,1029,1038,1035,1029,1032,1030,1023,1020,1020,1037,1045,1051,1048,1052,1046,1044,1052,1063,1062,1061,1059,1063,1063,1061,1067,1080,1089,1096
"Riverside, CA",1522,1525,1523,1533,1546,1554,1554,1554,1558,1558,1554,1547,1546,1542,1540,1540,1534,1539,1543,1544,1540,1543,1550,1559,1570,1577,1585,1589,1588,1583,1581,1580,1583,1584,1587,1591,1596,1596,1598,1601,1603,1606,1614,1623,1632,1639,1642,1646,1653,1659,1665
"Phoenix, AZ",1112,1117,1113,1110,1108,1117,1123,1128,1127,1125,1125,1124,1125,1127,1130,1128,1125,1123,1126,1133,1140,1145,1148,1152,1154,1156,1159,1162,1165,1162,1156,1146,1142,1141,1143,1146,1151,1155,1163,1170,1179,1184,1191,1198,1204,1210,1216,1220,1223,1224,1225
"Seattle, WA",1488,1498,1506,1514,1519,1524,1532,1542,1545,1543,1542,1548,1558,1567,1578,1591,1598,1602,1608,1611,1615,1617,1617,1611,1612,1611,1615,1622,1636,1651,1660,1662,1667,1678,1694,1709,1729,1741,1748,1751,1751,1751,1755,1767,1781,1796,1808,1818,1828,1830,1834
"Minneapolis-St Paul, MN",1216,1236,1253,1264,1269,1286,1301,1315,1321,1327,1342,1358,1383,1388,1388,1386,1386,1394,1410,1429,1439,1443,1442,1442,1445,1444,1447,1456,1465,1465,1463,1458,1460,1465,1471,1480,1492,1500,1506,1512,1520,1518,1512,1504,1507,1513,1512,1508,1505,1501,1502
"San Diego, CA",2059,2042,2030,2016,2029,2050,2075,2084,2075,2062,2052,2055,2055,2075,2086,2105,2102,2090,2077,2075,2086,2102,2114,2115,2108,2104,2106,2120,2122,2127,2132,2142,2150,2154,2162,2172,2179,2191,2195,2209,2215,2221,2224,2226,2233,2245,2255,2262,2266,2277,2293
"St. Louis, MO",1043,1045,1036,1038,1052,1086,1109,1105,1097,1079,1067,1054,1064,1071,1078,1084,1082,1072,1071,1091,1095,1102,1092,1094,1091,1088,1088,1093,1090,1081,1073,1066,1073,1083,1093,1094,1091,1088,1092,1097,1095,1087,1079,1077,1080,1089,1104,1118,1131,1134,1138
"Tampa, FL",1104,1114,1122,1122,1123,1130,1141,1145,1143,1146,1150,1156,1158,1158,1159,1166,1168,1168,1167,1169,1174,1177,1178,1179,1187,1189,1190,1193,1197,1201,1203,1205,1208,1211,1214,1215,1217,1217,1220,1227,1232,1232,1233,1236,1241,1243,1248,1252,1261,1264,1268
"Baltimore, MD",1474,1479,1492,1504,1501,1504,1505,1508,1503,1500,1517,1541,1572,1591,1604,1610,1618,1632,1650,1671,1680,1683,1674,1668,1666,1666,1664,1664,1675,1683,1688,1683,1687,1691,1693,1691,1687,1686,1687,1690,1696,1691,1688,1685,1695,1708,1715,1718,1715,1713,1713
"Denver, CO",1326,1341,1349,1374,1391,1407,1409,1409,1407,1405,1406,1411,1426,1426,1426,1425,1422,1436,1461,1487,1498,1501,1499,1498,1510,1518,1534,1551,1566,1570,1573,1571,1573,1584,1603,1620,1638,1646,1658,1670,1677,1677,1682,1695,1721,1745,1764,1780,1804,1818,1827
"Pittsburgh, PA",999,1003,998,986,986,960,941,927,946,961,968,965,965,984,1012,1023,1017,1022,1039,1059,1049,1024,1003,1005,999,991,976,976,990,1025,1026,1024,995,1006,1022,1043,1062,1074,1072,1074,1076,1072,1083,1089,1123,1133,1146,1138,1126,1114,1124
"Portland, OR",1230,1238,1245,1269,1290,1294,1300,1309,1315,1311,1311,1314,1327,1333,1337,1340,1336,1350,1367,1381,1387,1395,1397,1391,1392,1395,1404,1417,1424,1430,1433,1432,1436,1441,1450,1461,1474,1478,1481,1487,1489,1489,1488,1491,1502,1518,1533,1549,1569,1580,1587
"Sacramento, CA",1432,1438,1440,1442,1437,1439,1443,1444,1436,1440,1448,1458,1463,1465,1470,1478,1481,1495,1513,1527,1532,1527,1523,1513,1510,1509,1512,1520,1528,1529,1526,1524,1532,1536,1540,1545,1551,1555,1558,1566,1573,1570,1565,1565,1574,1586,1594,1605,1616,1623,1629
"San Antonio, TX",1086,1084,1079,1080,1079,1083,1090,1099,1106,1114,1126,1135,1142,1154,1169,1181,1186,1190,1193,1198,1201,1204,1203,1203,1200,1203,1206,1211,1218,1225,1230,1230,1230,1229,1231,1235,1236,1240,1245,1251,1257,1259,1263,1265,1272,1278,1283,1288,1289,1294,1299
"Orlando, FL",1167,1159,1155,1157,1158,1157,1158,1160,1166,1170,1174,1178,1180,1188,1194,1196,1197,1199,1201,1204,1205,1205,1202,1202,1201,1207,1213,1218,1225,1233,1241,1245,1249,1252,1260,1268,1272,1279,1284,1288,1291,1294,1296,1297,1300,1305,1309,1311,1308,1310,1311
"Cincinnati, OH",961,944,941,937,953,976,1004,1031,1040,1046,1056,1066,1069,1081,1087,1096,1094,1078,1045,1020,1023,1046,1062,1062,1053,1054,1059,1069,1076,1091,1112,1129,1131,1122,1115,1125,1134,1151,1165,1178,1178,1176,1182,1183,1190,1190,1191,1192,1189,1202,1208
"Cleveland, OH",1045,1034,1030,1026,1024,1022,1032,1043,1053,1058,1062,1070,1071,1073,1069,1066,1065,1074,1078,1081,1073,1070,1070,1069,1064,1074,1086,1100,1110,1112,1111,1103,1104,1105,1111,1112,1109,1114,1120,1128,1132,1132,1129,1134,1143,1149,1151,1156,1158,1165,1167
"Kansas City, MO",858,870,892,926,959,983,1004,1015,1014,1009,1018,1041,1069,1073,1072,1064,1054,1063,1079,1100,1108,1115,1113,1104,1108,1106,1103,1104,1104,1098,1088,1075,1077,1085,1090,1095,1103,1111,1119,1133,1135,1134,1133,1138,1152,1167,1176,1180,1194,1205,1214
"Las Vegas, NV",1198,1195,1194,1197,1200,1200,1194,1189,1184,1182,1176,1169,1162,1160,1159,1159,1152,1149,1151,1154,1155,1151,1148,1147,1150,1150,1149,1150,1152,1154,1155,1156,1159,1163,1168,1172,1176,1177,1177,1177,1176,1176,1177,1178,1179,1181,1184,1189,1193,1195,1196
"San Jose, CA",2378,2384,2378,2367,2371,2406,2437,2455,2449,2448,2456,2473,2488,2507,2529,2543,2563,2569,2568,2566,2575,2581,2582,2582,2597,2634,2668,2677,2679,2666,2659,2656,2665,2679,2709,2739,2762,2782,2813,2842,2879,2916,2958,3012,3065,3111,3143,3167,3181,3185,3190
"Columbus, OH",1042,1040,1034,1017,1018,1017,1034,1052,1066,1071,1084,1097,1112,1127,1142,1145,1146,1157,1163,1165,1159,1152,1144,1134,1122,1132,1149,1171,1183,1189,1185,1182,1186,1194,1199,1207,1207,1213,1217,1221,1226,1229,1231,1232,1238,1250,1260,1270,1264,1259,1251
"Charlotte, NC",984,991,993,996,996,1002,1010,1018,1025,1027,1038,1050,1066,1075,1082,1088,1095,1110,1123,1134,1137,1143,1146,1143,1140,1141,1148,1157,1166,1164,1159,1152,1148,1147,1146,1151,1156,1161,1164,1170,1174,1176,1179,1186,1198,1210,1217,1222,1224,1229,1235
"Indianapolis, IN",967,980,989,993,997,1003,1003,1000,996,999,1003,1017,1042,1062,1076,1081,1086,1096,1108,1122,1130,1136,1137,1132,1127,1118,1115,1118,1124,1131,1140,1146,1153,1156,1162,1167,1172,1171,1174,1182,1186,1181,1178,1176,1181,1186,1190,1192,1196,1194,1193
"Austin, TX",1225,1231,1230,1233,1233,1248,1262,1274,1275,1275,1287,1307,1331,1351,1365,1378,1386,1393,1401,1413,1426,1437,1441,1442,1439,1442,1448,1459,1469,1474,1479,1485,1497,1507,1516,1521,1525,1534,1548,1565,1580,1589,1596,1598,1606,1616,1627,1636,1643,1648,1657
"Virginia Beach, VA",1336,1340,1342,1346,1345,1351,1359,1364,1361,1355,1354,1358,1364,1368,1371,1374,1375,1380,1385,1394,1398,1402,1403,1404,1406,1406,1407,1407,1408,1405,1400,1396,1398,1403,1407,1409,1412,1411,1412,1414,1419,1419,1418,1415,1419,1422,1424,1424,1425,1425,1427
"Providence, RI",1386,1385,1380,1356,1336,1317,1320,1322,1335,1346,1352,1359,1362,1381,1405,1436,1462,1485,1497,1498,1494,1484,1481,1469,1450,1447,1456,1470,1477,1483,1483,1481,1475,1476,1481,1487,1483,1478,1466,1464,1463,1467,1465,1476,1484,1495,1500,1513,1520,1529,1530
"Nashville, TN",1070,1062,1057,1065,1078,1091,1097,1096,1095,1095,1103,1114,1126,1132,1137,1148,1150,1161,1174,1187,1190,1193,1195,1196,1194,1198,1202,1213,1217,1214,1210,1209,1216,1224,1228,1230,1231,1240,1248,1257,1259,1259,1266,1275,1286,1296,1303,1311,1317,1331,1347
"Milwaukee, WI",,,,,,,,,,,,,,,,,,1294,1336,1363,1367,1334,1312,1311,1332,1344,1326,1306,1298,1288,1295,1300,1295,1320,1343,1362,1341,1345,1349,1387,1411,1440,1429,1411,1409,1409,1409,1395,1376,1382,1402
"Jacksonville, FL",1097,1100,1102,1108,1111,1114,1116,1116,1117,1117,1116,1115,1117,1117,1116,1116,1115,1122,1132,1141,1143,1144,1148,1153,1159,1162,1164,1167,1171,1175,1177,1179,1182,1188,1194,1199,1205,1208,1215,1222,1225,1221,1217,1216,1220,1225,1227,1228,1231,1234,1236
"Memphis, TN",980,982,983,983,984,985,985,979,969,968,976,989,999,1001,1000,995,992,990,988,989,990,987,983,980,976,977,979,985,989,994,997,1000,1005,1007,1007,1006,1007,1012,1017,1019,1023,1027,1033,1041,1051,1059,1063,1063,1061,1063,1065
"Louisville-Jefferson County, KY",819,819,818,819,818,829,843,849,849,855,880,903,923,940,955,972,986,991,989,981,978,976,977,979,973,973,970,972,975,980,987,995,998,997,994,994,993,997,1003,1006,1011,1012,1013,1026,1043,1058,1055,1048,1039,1043,1054
