RegionName,State,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11
Pine Hills,NY,0.952,0.93,0.904,0.88,0.878,0.87,0.856,0.882,0.916,0.936,0.894,0.858,0.83,0.832,0.84,0.866,0.864,0.876,0.876,0.876,0.856,0.844,0.85,0.862,0.868,0.882,0.884,0.868,0.866,0.866,0.874,0.856,0.832,0.828,0.85,0.872,0.868,0.868,0.878,0.886,0.894,0.882,0.888,0.882,0.894,0.896,0.91,0.916,0.914
Campus Area (University District),NY,1.144,1.1,1.052,1.032,1.038,1.046,1.036,1.09,1.152,1.192,1.158,1.122,1.084,1.102,1.12,1.142,1.146,1.162,1.168,1.156,1.116,1.082,1.074,1.08,1.072,1.104,1.126,1.126,1.126,1.12,1.128,1.102,1.08,1.074,1.096,1.116,1.106,1.114,1.124,1.122,1.116,1.102,1.1,1.092,1.1,1.108,1.134,1.148,1.142
West Hill,NY,1.1,1.074,1.038,1,0.976,0.954,0.928,0.984,1.036,1.08,1.02,0.976,0.92,0.896,0.884,0.922,0.91,0.912,0.888,0.9,0.906,0.9,0.906,0.918,0.95,0.994,1.024,1.014,1.028,1.032,1.046,1.002,0.952,0.922,0.948,0.97,0.97,0.958,0.97,0.97,0.99,0.998,1.026,1.008,1.004,0.998,1.03,1.044,1.026
Delaware Avenue,NY,1.074,1.042,0.996,0.964,0.948,0.94,0.918,0.972,1.03,1.076,1.034,0.992,0.944,0.94,0.958,0.992,0.992,1.004,1,0.996,0.972,0.938,0.93,0.938,0.96,1.002,1.018,1.006,1.008,1.01,1.024,0.994,0.964,0.948,0.974,0.992,0.976,0.972,0.982,0.988,1,0.996,1.006,0.992,0.994,1,1.032,1.05,1.04
Buckingham Lake - Crestwood,NY,0.984,0.972,0.956,0.95,0.954,0.95,0.936,0.958,0.994,1.006,0.97,0.93,0.91,0.924,0.944,0.968,0.978,0.984,0.984,0.968,0.942,0.934,0.946,0.958,0.948,0.952,0.956,0.946,0.94,0.938,0.954,0.952,0.944,0.938,0.946,0.96,0.968,0.98,0.972,0.958,0.952,0.95,0.95,0.946,0.95,0.954,0.97,0.982,0.992
Helderberg,NY,0.996,0.966,0.926,0.904,0.904,0.906,0.898,0.934,0.976,0.998,0.962,0.93,0.896,0.906,0.924,0.954,0.962,0.976,0.978,0.97,0.944,0.926,0.928,0.936,0.93,0.948,0.96,0.95,0.946,0.94,0.944,0.924,0.904,0.904,0.926,0.95,0.948,0.954,0.962,0.962,0.962,0.95,0.954,0.952,0.964,0.968,0.98,0.986,0.984
New Scotland,NY,0.97,0.95,0.926,0.912,0.912,0.904,0.892,0.918,0.958,0.976,0.944,0.906,0.882,0.89,0.904,0.928,0.934,0.95,0.952,0.946,0.918,0.904,0.908,0.918,0.916,0.928,0.93,0.92,0.914,0.914,0.922,0.91,0.894,0.894,0.91,0.928,0.924,0.934,0.938,0.938,0.936,0.928,0.928,0.926,0.932,0.934,0.948,0.958,0.962
Whitehall,NY,1.06,1.046,1.012,1,0.99,0.984,0.968,1.004,1.05,1.08,1.052,1.02,0.99,0.998,1.012,1.034,1.048,1.062,1.066,1.052,1.018,0.988,0.982,0.988,0.99,1.012,1.026,1.02,1.018,1.016,1.026,1.01,0.994,0.99,1.008,1.024,1.014,1.016,1.018,1.012,1.012,1.006,1.006,1.006,1.014,1.024,1.044,1.054,1.058
Normanskill,NY,0.994,0.962,0.928,0.918,0.942,0.956,0.942,0.962,0.996,0.996,0.954,0.904,0.884,0.92,0.96,0.99,1,1,0.998,0.974,0.942,0.938,0.954,0.978,0.962,0.976,0.974,0.96,0.936,0.936,0.96,0.97,0.968,0.968,0.972,0.978,0.97,0.978,0.97,0.958,0.952,0.942,0.934,0.928,0.932,0.938,0.956,0.972,0.988
Williamsbridge,NY,,,,,,,,,,,,,,0.876,0.898,0.928,0.962,0.992,1.008,1.026,1.036,1.046,1.046,1.036,1.016,1.008,1.008,1.02,1.032,1.036,1.036,1.04,1.05,1.056,1.056,1.062,1.062,1.068,1.062,1.07,1.088,1.096,1.092,1.086,1.092,1.1,1.106,1.108,1.108
