"RegionName","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01"
"California",1860,1871,1870,1866,1865,1872,1878,1883,1885,1894,1903,1913,1914,1917,1921,1930,1932,1938,1945,1956,1961,1959,1956,1957,1964,1968,1976,1992,2006,2014,2016,2014,2016,2017,2023,2031,2039,2049,2059,2072,2081,2085,2094,2105,2123,2140,2155,2166,2178,2185,2197
"Texas",1125,1130,1129,1131,1130,1138,1148,1154,1157,1160,1165,1167,1171,1177,1186,1193,1196,1198,1199,1205,1210,1213,1214,1215,1219,1221,1222,1229,1237,1241,1243,1243,1245,1248,1254,1263,1269,1273,1279,1287,1293,1296,1300,1305,1312,1319,1325,1331,1336,1342,1348
"New York",1462,1463,1473,1496,1504,1515,1525,1517,1520,1516,1544,1571,1611,1649,1666,1669,1682,1716,1747,1779,1785,1791,1782,1785,1784,1794,1808,1823,1833,1827,1818,1809,1813,1832,1843,1843,1838,1836,1841,1839,1847,1846,1853,1872,1894,1907,1911,1916,1920,1919,1918
"Florida",1198,1198,1199,1204,1207,1210,1212,1214,1215,1217,1220,1225,1231,1231,1232,1235,1238,1247,1259,1270,1274,1276,1279,1281,1284,1287,1289,1296,1303,1309,1313,1319,1331,1342,1349,1357,1369,1384,1394,1405,1408,1408,1406,1405,1405,1407,1414,1417,1420,1421,1427
"Illinois",1222,1248,1260,1266,1269,1289,1286,1282,1272,1269,1281,1289,1326,1335,1351,1356,1366,1372,1385,1408,1423,1433,1426,1422,1416,1406,1400,1397,1405,1406,1414,1414,1419,1424,1430,1444,1460,1472,1479,1477,1475,1467,1468,1465,1471,1475,1479,1477,1469,1453,1445
"Pennsylvania",1104,1087,1074,1063,1065,1070,1085,1093,1102,1114,1130,1141,1138,1147,1157,1163,1157,1165,1174,1185,1181,1178,1176,1179,1174,1181,1187,1200,1210,1210,1204,1197,1198,1195,1194,1193,1188,1196,1202,1213,1218,1217,1211,1210,1215,1221,1221,1221,1215,1223,1228
"Ohio",897,900,899,895,893,901,913,923,928,928,940,946,958,958,963,965,970,975,970,964,958,964,964,962,957,959,961,966,977,986,992,991,990,989,992,1004,1015,1028,1040,1047,1045,1037,1040,1052,1068,1077,1076,1075,1067,1066,1066
"Michigan",945,954,959,964,966,966,961,966,978,993,990,965,942,917,913,915,918,923,929,926,920,916,922,932,943,948,947,946,944,943,937,928,915,905,903,911,926,935,939,939,936,932,937,948,960,965,968,977,993,999,998
"Georgia",999,1005,1009,1019,1029,1043,1059,1072,1077,1075,1071,1066,1068,1060,1054,1054,1050,1053,1058,1065,1066,1068,1066,1066,1069,1070,1071,1078,1082,1080,1075,1069,1070,1076,1082,1090,1098,1103,1107,1116,1115,1109,1102,1098,1102,1108,1115,1122,1132,1140,1148
"North Carolina",946,951,955,962,966,968,971,973,976,976,979,982,990,993,997,1003,1006,1017,1028,1041,1043,1046,1047,1050,1053,1054,1054,1057,1059,1058,1056,1054,1057,1064,1071,1079,1085,1085,1085,1089,1093,1093,1092,1091,1094,1096,1096,1094,1096,1101,1106
"New Jersey",1451,1446,1439,1420,1403,1418,1433,1440,1428,1431,1469,1525,1589,1641,1673,1691,1727,1764,1804,1834,1853,1860,1848,1835,1808,1812,1829,1860,1880,1885,1883,1885,1891,1898,1901,1901,1884,1889,1896,1914,1923,1914,1910,1912,1938,1962,1977,1980,1965,1964,1969
"Virginia",1370,1377,1385,1393,1397,1391,1380,1367,1363,1363,1374,1386,1404,1404,1405,1402,1402,1420,1438,1460,1465,1469,1468,1469,1469,1468,1466,1468,1471,1472,1476,1477,1481,1482,1481,1479,1481,1485,1490,1495,1498,1494,1491,1489,1494,1497,1498,1496,1496,1496,1497
"Washington",1312,1326,1332,1333,1338,1341,1345,1339,1332,1330,1328,1331,1342,1345,1349,1354,1357,1370,1381,1393,1392,1388,1385,1384,1387,1386,1387,1395,1401,1407,1411,1416,1427,1439,1453,1462,1470,1471,1473,1481,1482,1476,1471,1474,1487,1496,1501,1506,1515,1517,1520
"Massachusetts",1683,1688,1685,1678,1670,1661,1666,1671,1679,1680,1680,1682,1694,1707,1717,1732,1745,1765,1779,1781,1781,1783,1791,1791,1794,1795,1801,1816,1823,1818,1824,1826,1833,1833,1846,1861,1866,1866,1854,1873,1883,1899,1896,1909,1916,1936,1938,1944,1944,1954,1982
"Indiana",840,844,851,860,866,872,882,888,893,892,891,893,906,920,929,935,940,950,958,960,959,959,962,960,959,955,951,947,943,941,943,954,971,991,1004,1015,1020,1024,1030,1043,1052,1054,1050,1046,1041,1036,1036,1040,1047,1048,1050
